StandortID,Periode,Probenahmedatum,Jahr,Probenart,Parameter,Wert
829,6,2024-11-12,2024,UNTER40-60,Hg_AMA_PPM,0.38673
829,6,2024-11-12,2024,OBER-0-20,HGT_PPM,1.1663
829,6,2024-11-12,2024,UNTER40-60,HGT_PPM,0.3775
829,6,2024-11-12,2024,OBER-0-20,NIT_PPM,32.4905
829,6,2024-11-12,2024,UNTER40-60,NIT_PPM,41.1453
829,6,2024-11-12,2024,OBER-0-20,ORG_SUB,9.144225
829,6,2024-11-12,2024,UNTER40-60,ORG_SUB,2.540925
829,6,2024-11-12,2024,OBER-0-20,PBT_PPM,765.4357
829,6,2024-11-12,2024,UNTER40-60,PBT_PPM,63.6082
829,6,2024-11-12,2024,OBER-0-20,PHCA,6.76
829,6,2024-11-12,2024,UNTER40-60,PHCA,6.83
829,6,2024-11-12,2024,OBER-0-20,ZNT_PPM,462.3463
829,6,2024-11-12,2024,UNTER40-60,ZNT_PPM,136.0731
830,1,1999-12-16,1999,OBER-0-20,CDT_PPM,1.724
830,1,1999-12-16,1999,UNTER40-60,CDT_PPM,0.58265
830,1,1999-12-16,1999,OBER-0-20,CRT_PPM,75.48022
830,1,1999-12-16,1999,UNTER40-60,CRT_PPM,27.48644
830,1,1999-12-16,1999,OBER-0-20,CUT_PPM,88.81468
830,1,1999-12-16,1999,UNTER40-60,CUT_PPM,37.31509
830,1,1999-12-16,1999,OBER-0-20,Hg_AMA_PPM,1.0192
830,1,1999-12-16,1999,OBER-0-20,HGT_PPM,0.8948
830,1,1999-12-16,1999,UNTER40-60,HGT_PPM,0.37004
830,1,1999-12-16,1999,OBER-0-20,NIT_PPM,30.58878
830,1,1999-12-16,1999,UNTER40-60,NIT_PPM,30.06654
830,1,1999-12-16,1999,OBER-0-20,ORG_SUB,9.865
830,1,1999-12-16,1999,UNTER40-60,ORG_SUB,2.79
830,1,1999-12-16,1999,OBER-0-20,PBT_PPM,155.68199
830,1,1999-12-16,1999,UNTER40-60,PBT_PPM,50.91414
830,1,1999-12-16,1999,OBER-0-20,PHCA,6.83
830,1,1999-12-16,1999,UNTER40-60,PHCA,7.16
830,1,1999-12-16,1999,OBER-0-20,ZNT_PPM,402.23424
830,1,1999-12-16,1999,UNTER40-60,ZNT_PPM,126.25863
830,2,2004-11-18,2004,OBER-0-20,CDT_PPM,1.733
830,2,2004-11-18,2004,UNTER40-60,CDT_PPM,1.057
830,2,2004-11-18,2004,OBER-0-20,CRT_PPM,77.6
830,2,2004-11-18,2004,UNTER40-60,CRT_PPM,36.9
830,2,2004-11-18,2004,OBER-0-20,CUT_PPM,97.1
830,2,2004-11-18,2004,UNTER40-60,CUT_PPM,55.8
830,2,2004-11-18,2004,OBER-0-20,Hg_AMA_PPM,1.011
830,2,2004-11-18,2004,OBER-0-20,HGT_PPM,0.861
830,2,2004-11-18,2004,UNTER40-60,HGT_PPM,0.5884
830,2,2004-11-18,2004,OBER-0-20,NIT_PPM,29.2
830,2,2004-11-18,2004,UNTER40-60,NIT_PPM,30.5
830,2,2004-11-18,2004,OBER-0-20,ORG_SUB,12.200925
830,2,2004-11-18,2004,OBER-0-20,PBT_PPM,157
830,2,2004-11-18,2004,UNTER40-60,PBT_PPM,81.2
830,2,2004-11-18,2004,OBER-0-20,ZNT_PPM,405.8
830,2,2004-11-18,2004,UNTER40-60,ZNT_PPM,218.3
830,3,2009-10-22,2009,OBER-0-20,CDT_PPM,1.55
830,3,2009-10-22,2009,UNTER40-60,CDT_PPM,1.05
830,3,2009-10-22,2009,OBER-0-20,CRT_PPM,76.2
830,3,2009-10-22,2009,UNTER40-60,CRT_PPM,39.9
830,3,2009-10-22,2009,OBER-0-20,CUT_PPM,92.8
830,3,2009-10-22,2009,UNTER40-60,CUT_PPM,57.9
830,3,2009-10-22,2009,OBER-0-20,Hg_AMA_PPM,0.9521
830,3,2009-10-22,2009,OBER-0-20,HGT_PPM,0.87
830,3,2009-10-22,2009,UNTER40-60,HGT_PPM,0.61
830,3,2009-10-22,2009,OBER-0-20,NIT_PPM,29
830,3,2009-10-22,2009,UNTER40-60,NIT_PPM,29.4
830,3,2009-10-22,2009,OBER-0-20,ORG_SUB,11.538697
830,3,2009-10-22,2009,UNTER40-60,ORG_SUB,5.80566
830,3,2009-10-22,2009,OBER-0-20,PBT_PPM,139.3
830,3,2009-10-22,2009,UNTER40-60,PBT_PPM,88.9
830,3,2009-10-22,2009,OBER-0-20,PHCA,6.86
830,3,2009-10-22,2009,UNTER40-60,PHCA,6.87
830,3,2009-10-22,2009,OBER-0-20,ZNT_PPM,400.1
830,3,2009-10-22,2009,UNTER40-60,ZNT_PPM,230.7
830,4,2014-12-26,2014,OBER-0-20,CDT_PPM,1.57
830,4,2014-12-26,2014,OBER-0-20,CUT_PPM,93.2
830,4,2014-12-26,2014,OBER-0-20,Hg_AMA_PPM,0.9
830,4,2014-12-26,2014,OBER-0-20,HGT_PPM,0.76
830,4,2014-12-26,2014,OBER-0-20,NIT_PPM,27.6
830,4,2014-12-26,2014,OBER-0-20,ORG_SUB,9.578752
830,4,2014-12-26,2014,OBER-0-20,PBT_PPM,144
830,4,2014-12-26,2014,OBER-0-20,PHCA,6.73
830,4,2014-12-26,2014,OBER-0-20,ZNT_PPM,417
830,5,2019-11-26,2019,OBER-0-20,CDT_PPM,1.54
830,5,2019-11-26,2019,UNTER40-60,CDT_PPM,0.548
830,5,2019-11-26,2019,OBER-0-20,CUT_PPM,97.8
830,5,2019-11-26,2019,UNTER40-60,CUT_PPM,35.3
830,5,2019-11-26,2019,OBER-0-20,Hg_AMA_PPM,0.8221
830,5,2019-11-26,2019,UNTER40-60,Hg_AMA_PPM,0.3469
830,5,2019-11-26,2019,OBER-0-20,HGT_PPM,0.85
830,5,2019-11-26,2019,OBER-0-20,NIT_PPM,27.1
830,5,2019-11-26,2019,UNTER40-60,NIT_PPM,26.8
830,5,2019-11-26,2019,OBER-0-20,ORG_SUB,10.140067
830,5,2019-11-26,2019,UNTER40-60,ORG_SUB,2.872125
830,5,2019-11-26,2019,OBER-0-20,PBT_PPM,157
830,5,2019-11-26,2019,UNTER40-60,PBT_PPM,49.6
830,5,2019-11-26,2019,OBER-0-20,PHCA,6.86
830,5,2019-11-26,2019,UNTER40-60,PHCA,7.14
830,5,2019-11-26,2019,OBER-0-20,ZNT_PPM,391
830,5,2019-11-26,2019,UNTER40-60,ZNT_PPM,127
830,6,2024-11-12,2024,OBER-0-20,CDT_PPM,1.541
830,6,2024-11-12,2024,UNTER40-60,CDT_PPM,1.15
830,6,2024-11-12,2024,OBER-0-20,CRT_PPM,59.6659
830,6,2024-11-12,2024,UNTER40-60,CRT_PPM,42.1736
830,6,2024-11-12,2024,OBER-0-20,CUT_PPM,110.265
