"StandortID";"periode";"Probenart";"HorizontNr";"para";"y";"y.orig";"mad.y";"mad.y.orig";"N.used";"p.dat";"m.LaborID";"m.a.jahr";"m.ProbenIDs"
828;6;"OBER-0-20";0;"CDT_PPM";0.6912;0.6912;0;0;1;2024-11-12;"332";"2025";"53799"
828;6;"UNTER40-60";0;"CDT_PPM";0.4274;0.4274;0;0;1;2024-11-12;"332";"2025";"53801"
828;6;"OBER-0-20";0;"CRT_PPM";29.7054;29.7054;0;0;1;2024-11-12;"332";"2025";"53799"
828;6;"UNTER40-60";0;"CRT_PPM";29.9765;29.9765;0;0;1;2024-11-12;"332";"2025";"53801"
828;6;"OBER-0-20";0;"CUT_PPM";188.9618;188.9618;0;0;1;2024-11-12;"332";"2025";"53799"
828;6;"UNTER40-60";0;"CUT_PPM";43.2314;43.2314;0;0;1;2024-11-12;"332";"2025";"53801"
828;6;"OBER-0-20";0;"Hg_AMA_PPM";0.22359;0.22359;0;0;1;2024-11-12;"2538";"2025";"53799"
828;6;"UNTER40-60";0;"Hg_AMA_PPM";0.170796;0.170796;0;0;1;2024-11-12;"2538";"2025";"53801"
828;6;"OBER-0-20";0;"HGT_PPM";0.2262;0.2262;0;0;1;2024-11-12;"332";"2025";"53799"
828;6;"UNTER40-60";0;"HGT_PPM";0.1747;0.1747;0;0;1;2024-11-12;"332";"2025";"53801"
828;6;"OBER-0-20";0;"NIT_PPM";30.9407;30.9407;0;0;1;2024-11-12;"332";"2025";"53799"
828;6;"UNTER40-60";0;"NIT_PPM";37.7869;37.7869;0;0;1;2024-11-12;"332";"2025";"53801"
828;6;"OBER-0-20";0;"ORG_SUB";9.87735;9.87735;0;0;1;2024-11-12;"2538";"2025";"53799"
828;6;"UNTER40-60";0;"ORG_SUB";3.510375;3.510375;0;0;1;2024-11-12;"2538";"2025";"53801"
828;6;"OBER-0-20";0;"PBT_PPM";122.2338;122.2338;0;0;1;2024-11-12;"332";"2025";"53799"
828;6;"UNTER40-60";0;"PBT_PPM";74.3429;74.3429;0;0;1;2024-11-12;"332";"2025";"53801"
828;6;"OBER-0-20";0;"PHCA";6.84;6.84;0;0;1;2024-11-12;"2538";"2025";"53799"
828;6;"UNTER40-60";0;"PHCA";6.81;6.81;0;0;1;2024-11-12;"2538";"2025";"53801"
828;6;"OBER-0-20";0;"ZNT_PPM";314.0482;314.0482;0;0;1;2024-11-12;"332";"2025";"53799"
828;6;"UNTER40-60";0;"ZNT_PPM";147.7029;147.7029;0;0;1;2024-11-12;"332";"2025";"53801"
829;1;"OBER-0-20";0;"CDT_PPM";2.924176;2.91544;0.0806326836000001;0.140194656;3;1999-12-16;"332-1028";"2001-2009";"11078-11079-11080"
829;1;"UNTER40-60";0;"CDT_PPM";0.339239;0.33179;0;0;1;1999-12-16;"332";"2001";"11081"
829;1;"OBER-0-20";0;"CRT_PPM";46.061425;48.54652;1.965505059;0.968849448000003;3;1999-12-16;"332-1028";"2001-2009";"11078-11079-11080"
829;1;"UNTER40-60";0;"CRT_PPM";33.036569;34.81895;0;0;1;1999-12-16;"332";"2001";"11081"
829;1;"OBER-0-20";0;"CUT_PPM";316.76739;326.68122;175.5998719566;190.782776772;3;1999-12-16;"332-1028";"2001-2009";"11078-11079-11080"
829;1;"UNTER40-60";0;"CUT_PPM";37.42645;38.60582;0;0;1;1999-12-16;"332";"2001";"11081"
829;1;"OBER-0-20";0;"Hg_AMA_PPM";1.4766;1.4766;0;0;1;1999-12-16;"2538";"2015";"11078"
829;1;"OBER-0-20";0;"HGT_PPM";1.229;1.229;0.00994528079999991;0.20341272;3;1999-12-16;"332-1028";"2001-2009";"11078-11079-11080"
829;1;"UNTER40-60";0;"HGT_PPM";0.178209;0.19725;0;0;1;1999-12-16;"332";"2001";"11081"
829;1;"OBER-0-20";0;"NIT_PPM";35.28046;36.58068;0.637848619800008;1.009176168;3;1999-12-16;"332-1028";"2001-2009";"11078-11079-11080"
829;1;"UNTER40-60";0;"NIT_PPM";38.888989;41.38365;0;0;1;1999-12-16;"332";"2001";"11081"
829;1;"OBER-0-20";0;"ORG_SUB";9.8911985;9.16;0.4002375069;0.37065;2;1999-12-16;"329";"2000";"11078-11079"
829;1;"UNTER40-60";0;"ORG_SUB";2.807545;2.6;0;0;1;1999-12-16;"329";"2000";"11081"
829;1;"OBER-0-20";0;"PBT_PPM";217.748052;237.37927;0.207841246199996;2.67796107600001;3;1999-12-16;"332-1028";"2001-2009";"11078-11079-11080"
829;1;"UNTER40-60";0;"PBT_PPM";39.781724;43.35269;0;0;1;1999-12-16;"332";"2001";"11081"
829;1;"OBER-0-20";0;"PHCA";6.589128;6.835;0.0370649999999999;0.0370650000000005;2;1999-12-16;"332";"2001";"11078-11079"
829;1;"UNTER40-60";0;"PHCA";6.684128;6.93;0;0;1;1999-12-16;"332";"2001";"11081"
829;1;"OBER-0-20";0;"ZNT_PPM";500.209961;525.20465;7.3360930902;19.59611724;3;1999-12-16;"332-1028";"2001-2009";"11078-11079-11080"
829;1;"UNTER40-60";0;"ZNT_PPM";91.606059;98.60519;0;0;1;1999-12-16;"332";"2001";"11081"
829;2;"OBER-0-20";0;"CDT_PPM";2.710449;2.79;0.0403296851999999;0.0415128;3;2004-11-18;"1028";"2009";"20491-20492-20493"
829;2;"UNTER40-60";0;"CDT_PPM";0.893768;0.92;0;0;1;2004-11-18;"1028";"2009";"20494"
829;2;"OBER-0-20";0;"CRT_PPM";48.443074;50.2;1.7168537652;1.77912;3;2004-11-18;"1028";"2009";"20491-20492-20493"
829;2;"UNTER40-60";0;"CRT_PPM";35.512054;36.8;0;0;1;2004-11-18;"1028";"2009";"20494"
829;2;"OBER-0-20";0;"CUT_PPM";351.279007;350.7;224.3907197742;224.02086;3;2004-11-18;"1028";"2009";"20491-20492-20493"
829;2;"UNTER40-60";0;"CUT_PPM";52.486512;52.4;0;0;1;2004-11-18;"1028";"2009";"20494"
829;2;"OBER-0-20";0;"Hg_AMA_PPM";1.3575;1.3575;0;0;1;2004-11-18;"2538";"2015";"20491"
829;2;"OBER-0-20";0;"HGT_PPM";1.143;1.14255;0.044478;0.0440332200000001;3;2004-11-18;"1028";"2009";"20491-20492-20493"
829;2;"UNTER40-60";0;"HGT_PPM";0.4;0.4004;0;0;1;2004-11-18;"1028";"2009";"20494"
829;2;"OBER-0-20";0;"NIT_PPM";35.61121;35.8;0;0;3;2004-11-18;"1028";"2009";"20491-20492-20493"
